Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
72HERCALH,HERRINGBONE CALACATTA GOLD CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,0.0000,1.8800,M2
72HERCALH -01,HERRINGBONE CALACATTA GOLD CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,0.0000,22.5000,M2
72HERCALH -02,HERRINGBONE CALACATTA GOLD CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,13.0000,15.3981,M2
72HERCALH -03,HERRINGBONE CALACATTA GOLD CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,0.0000,0.0000,M2
72HERCARH,"HERRINGBONE CARRARA HONED
CHIP SIZE 75X25X7MM SHEET SIZE 325X305  10.08 SHEETS/M2
10 SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,0.0000,M2
72HERCARH -01,"HERRINGBONE CARRARA HONED
CHIP SIZE 75X25X7MM SHEET SIZE 325X305  10.08 SHEETS/M2
10 SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,0.0885,M2
72HERCARH -02,"HERRINGBONE CARRARA HONED
CHIP SIZE 75X25X7MM SHEET SIZE 325X305  10.08 SHEETS/M2
10 SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,1.5130,M2
72HERCARH -03,"HERRINGBONE CARRARA HONED
CHIP SIZE 75X25X7MM SHEET SIZE 325X305  10.08 SHEETS/M2
10 SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,0.3445,M2
72HERCARH -04,"HERRINGBONE CARRARA HONED 
CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 
10 SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,62.4500,M2
72HERCARH -05,"HERRINGBONE CARRARA HONED 
CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10 SHEETS/BOX=0.991M2",HERRINGBONE,,3.0000,8.4300,M2
72HERCARH -06,HERRINGBONE CARRARA HONED CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,0.0000,179.3500,M2
72HERCARH -07,HERRINGBONE CARRARA HONED CHIP SIZE 75X25X7MM SHEET SIZE 325X305 10.08 SHEETS/M2 10SH/BOX=0.991M2,HERRINGBONE,,0.0000,62.4500,M2
72HERCART,"HERRINGBONE CARRARA TUMBLED 
CHIP SIZE 75X25X10MM 
SHEET SIZE 325X305 
10.08 SHEETS/M2
10SH/BOX=0.991M2",HERRINGBONE,,0.0000,60.4100,M2
72HERCART -01,"HERRINGBONE CARRARA TUMBLED CHIP SIZE 75X25X10MM 
SHEET SIZE 325X305 10.08 SHEETS/M2 5SH/BOX=0.496M2",HERRINGBONE,,0.9920,22.8200,M2
72HERNYH,"HERRINGBONE NEW YORK  HONED 
CHIP SIZE 25X75X7MM SHEET SIZE 325X305 10.09 SH/M2 5SH/BOX=0.496M2",HERRINGBONE,,0.0000,53.5300,M2
72HERPIETRA GRY H,"HERRINGBONE PIETRA GREY HONED 
CHIP SIZE 75X25X7MM
SHEET SIZE 325X305
10.08 SHEETS/M2
10SHEETS/BOX=0.991M2",HERRINGBONE,,9.0000,15.7000,M2
72HERPIETRA GRY H -01,"HERRINGBONE PIETRA GREY HONED CHIP SIZE 75X25X7MM SHEET SIZE 325X305 
10.08 SHEETS/M2
10SHEETS/BOX=0.991M2",HERRINGBONE,,0.0000,62.4500,M2
92HERCARH,"HERRINGBONE CARRARA HONED
CHIP SIZE 25X98X10MM
SHEET SIZE 282X305MM
11.63SH/1M2 5SH/BOX",HERRINGBONE,,0.0000,23.9600,M2
ARABESQUE CARRARA HONED,"ARABESQUE CARRARA HONED  
SHEET SIZE 305X327X7
10 SHEETS/BOX = 0.997M2",LANTERN,,0.1995,14.0620,M2
ARABESQUE CARRARA HONED -01,"ARABESQUE CARRARA HONED  
SHEET SIZE 305X327X7
10 SHEETS/BOX = 0.997M2",LANTERN,,0.0000,62.8300,M2
